Feature ID,Feature Name,Feature Class,Primary State,Primary County Name,Elevation (Meters),Elevation (Feet),USGS Map Name,Primary Point (Coordinates),Date Created,Date Edited
1994936,Great River Womens Health Center,Hospital,IA,Des Moines,215,705,West Burlington,POINT (-91.1709805 40.8105944),09/16/2003,
2047726,Altoona Health Care Center,Hospital,IA,Polk,288,945,Altoona,POINT (-93.4721573 41.6494333),10/04/2004,
2002287,Pediatric Associates Center,Hospital,IA,Johnson,204,669,Iowa City West,POINT (-91.525446 41.6622389),09/26/2003,
1983276,Dysart Clinic,Hospital,IA,Tama,296,971,Dysart,POINT (-92.30518660000001 42.1708256),01/16/2003,
1999783,Victor Medical Clinic,Hospital,IA,Iowa,248,814,Victor,POINT (-92.2976837 41.7313897),09/26/2003,
1999255,McFarland Eye Center,Hospital,IA,Story,305,1001,Ames West,POINT (-93.667442 42.02331890000001),09/26/2003,
1996095,Eye Care Associates Center,Hospital,IA,Guthrie,339,1112,Guthrie Center West,POINT (-94.5030266 41.67776430000001),09/16/2003,
1999379,McFarland Clinic,Hospital,IA,Story,315,1033,Slater,POINT (-93.6779983 41.8774868),09/26/2003,
1983419,Parkview Manor Nursing Home,Hospital,IA,Grundy,285,935,Reinbeck,POINT (-92.6071394 42.3244302),01/16/2003,
1994697,Breda Health Clinic,Hospital,IA,Carroll,418,1371,Breda,POINT (-94.9774893 42.1810953),09/16/2003,
2046513,Guardian Family Care,Hospital,IA,Scott,184,604,Port Byron,POINT (-90.3440174 41.5980887),09/22/2004,
1994931,Hawkeye Rehabilitation Clinic,Hospital,IA,Des Moines,,,Sperry,POINT (0 0),09/16/2003,
2046952,Willow Gardens Care Center,Hospital,IA,Linn,261,856,Marion,POINT (-91.5782325 42.0308327),09/22/2004,
2047623,Johnston Family Practice,Hospital,IA,Polk,252,827,Des Moines NW,POINT (-93.7016099 41.6638774),10/04/2004,
2002300,Adolescent and Pediatric Clinic,Hospital,IA,Johnson,205,673,Iowa City West,POINT (-91.5279461 41.6639055),09/26/2003,
1995244,Siouxland Radiation Partners Office,Hospital,IA,Woodbury,362,1188,Sioux City South,POINT (-96.4003069 42.4969386),09/16/2003,
1994725,Dental Associates Center,Hospital,IA,Carroll,391,1283,Carroll East,POINT (-94.8655414 42.0685962),09/16/2003,
2001280,Cascade Family Health Center,Hospital,IA,Dubuque,253,830,Cascade,POINT (-91.0195841 42.3022268),09/26/2003,
2048052,Hiawatha Care Center,Hospital,IA,Linn,258,846,Cedar Rapids North,POINT (-91.6946239 42.0416647),10/04/2004,
1996679,USA Health Care Center,Hospital,IA,Webster,340,1115,Fort Dodge North,POINT (-94.1932949 42.5188584),09/16/2003,
1995255,Siouxland Obstetrics and Gynecology Center,Hospital,IA,Woodbury,387,1270,Sioux City North,POINT (-96.4047513 42.5138831),09/16/2003,
2048664,Children's Hospital Physicians Center,Hospital,IA,Polk,296,971,Commerce,POINT (-93.7902236 41.6005445),10/04/2004,
1983387,Grundy Medical Center,Hospital,IA,Grundy,314,1030,Grundy Center,POINT (-92.7618661 42.35942790000001),01/16/2003,
2000800,Genesis Medical Center De Witt,Hospital,IA,Clinton,211,692,De Witt,POINT (-90.5474554 41.8264503),09/26/2003,01/06/2020
2046023,Cedar Valley Medical Clinic,Hospital,IA,Black Hawk,283,928,Cedar Falls,POINT (-92.4601879 42.5335952),09/22/2004,
2047524,Concentra Medical Center,Hospital,IA,Polk,301,988,Grimes,POINT (-93.7724455 41.6363775),10/04/2004,
1983222,Tama Medical Center,Hospital,IA,Tama,250,820,Tama,POINT (-92.5788034 41.9627696),01/16/2003,
2002117,Black Hawk County Country View Center,Hospital,IA,Black Hawk,276,906,Waterloo North,POINT (-92.3662958 42.5710957),09/26/2003,
2048474,Des Moines Medical Group Center,Hospital,IA,Polk,288,945,Des Moines SE,POINT (-93.6249401 41.5541563),10/04/2004,
1995805,Pomeroy Care Center,Hospital,IA,Calhoun,379,1243,Pomeroy,POINT (-94.6805353 42.5433108),09/16/2003,
2000681,Clinton Foot and Ankle Clinic,Hospital,IA,Clinton,205,673,Clinton,POINT (-90.19568280000001 41.8591956),09/26/2003,
1999261,McFarland Clinic,Hospital,IA,Story,283,928,Ames East,POINT (-93.6116066 42.0324861),09/26/2003,
2001156,Dubuque Emergency Physicians Center,Hospital,IA,Dubuque,250,820,Dubuque South,POINT (-90.6745719 42.4922252),09/26/2003,
1995850,Stewart Memorial Community Hospital,Hospital,IA,Calhoun,369,1211,Lake City,POINT (-94.7495268 42.2655374),09/16/2003,12/31/2017
1982793,Southwest Orthodontic Associates Center,Hospital,IA,Crawford,389,1276,Denison,POINT (-95.3538868 42.017488),01/16/2003,
1996947,Stratford Nursing and Rehabilitation Center,Hospital,IA,Hamilton,339,1112,Stratford,POINT (-93.9266166 42.2680323),09/16/2003,
2552140,Orange City Home Health and Hospice,Hospital,IA,Sioux,437,1434,Orange City,POINT (-96.05888300000001 43.0097429),04/07/2010,04/30/2018
1995281,Riverside Family Practice Center,Hospital,IA,Woodbury,337,1106,Sioux City South,POINT (-96.4655862 42.495828),09/16/2003,
2046797,Mercy Medical Center,Hospital,IA,Linn,222,728,Cedar Rapids South,POINT (-91.6557853 41.9781265),09/22/2004,05/17/2017
